	Pop001	Pop002	Pop003	Pop004	Pop005	Pop006	Pop007	Pop008	Pop009	Pop010	Pop011	Pop012	Pop013	Pop014	Pop015	Pop016	Pop017	Pop018	Pop019	Pop020	Pop021	Pop022	Pop023	Pop024	Pop025	Pop026	Pop027	Pop028	Pop029	Pop030	Pop031	Pop032	Pop033	Pop034	Pop035	Pop036	Pop037	Pop038	Pop039	Pop040	Pop041	Pop042	Pop043	Pop044	Pop045	Pop046	Pop047	Pop048	Pop049	Pop050	Pop051	Pop052	Pop053	Pop054	Pop055	Pop056	Pop057	Pop058	Pop059	Pop060	Pop061	Pop062	Pop063	Pop064
Pop049	0.009	0	0	0.07	0.017	0	-0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031	0.045	0.026	0.005	0	0	0.039	0.029	0.168	0	0	0.049	0.068	0.014	0	0.053	0.012	-0.006	0.044	0.025	0.025	0	0	0	-0.006	-0.046	0.059	0	0	0	0	0.128	0.066	0.041	-0.031	0	0.113	0.146	0	0	0.101	0.184	0.243
Pop050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop053	0.122	0	0	0.108	0.1	0	0.118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101	0.161	0.16	0.152	0	0	0.128	0.101	0.218	0	0	0.139	0.156	0.106	0	0.109	0.121	0.119	0.146	-0.091	0.125	0	0	0	0.125	0.102	0.146	0.128	0	0	0	0	-0.008	0.027	-0.009	0	-0.02	0.039	0	0	0.086	0.12	0.1
Pop054	0.025	0	0	0.055	0.084	0	-0.034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.071	0.096	0.053	0.106	0	0	0.069	0.015	0.362	0	0	0.079	0.104	0.037	0	0.074	0.003	0.048	0.083	0	-0.05	0	0	0	0.082	0.056	0.121	0.066	0	0	0	-0.008	0	0	0	0	-0.026	-0.011	0	0	0.021	0	0.071
Pop055	-0.015	0	0	0.186	0.067	0	0.051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103	0.027	0	0	0	0	0.096	-0.015	0.1	0	0	0.113	0.12	0.019	0	0.047	-0.015	-0.045	0.01	0.167	0.024	0	0	0	-0.036	0	0	0.041	0	0	0	0.027	0	0	-0.031	0	0.008	-0.021	0	0.13	0.006	0.045	-0.065
Pop056	0	0	0	-0.113	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0.331	0	0	0.239	0.118	-0.005	0	0.118	0	0.014	0.034	0	0.239	0	0	0	0.14	0	-0.08	-0.031	0	0	0	-0.009	0	-0.031	0	0	0	0.111	0	0	0	0	0
Pop057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop058	0.118	0	0	0.151	0.133	0	0.192	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0.123	0.137	0.102	0.176	0	0	0.121	0.114	0.133	0	0	0.132	0.202	0.112	0	0.108	0.114	0.108	0.117	-0.059	0.08	0	0	0	0.148	0.124	0.12	0.113	0	0	0	-0.02	-0.026	0.008	0	0	0	0.033	0	0	0.036	0.104	0.048
Pop059	0.133	0	0	0.097	0.055	0	0.044	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.093	0.07	-0.033	0.175	0	0	0.075	0.062	0	0	0	0.078	0.078	0.097	0	0.191	0.036	0.011	0.044	0.189	0.113	0	0	0	0.079	0.081	0.097	0.146	0	0	0	0.039	-0.011	-0.021	0.111	0	0.033	0	0	0	0.005	-0.038	-0.015
Pop060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop061	0	0	0	0	-0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.146	0	0	0	0	0	0	0	0	0	0	0.19	0.071	0	0	0	0	0.061	-0.031	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0
Pop062	0.026	0	0	0.109	0.205	0	0.203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0.129	0	0.136	0	0	0.273	0	0.222	0	0	0.209	0.203	0.095	0	0.206	0.036	0	0.176	0.104	0.236	0	0	0	0.221	0.122	0.091	0.101	0	0	0	0.086	0.021	0.006	0	0	0.036	0.005	0	0	0	0.069	-0.031
Pop063	0.042	0	0	0.208	0.088	0	0	0	0	0	0	0	0	0	0	0	0	0	0.583	0	0	0.098	0.025	0	0.417	0	0	0.111	0.042	0	0	0	0.028	-0.004	-0.111	0	0.111	0.042	0	0	0.036	0.125	0	0	0	0.141	0.227	0.5	0.184	0	0	0	0.12	0	0.045	0	0	0.104	-0.038	0	0	0.069	0	-0.078
Pop064	0.042	0	0	0.25	0.115	0	0.333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128	0.133	0.292	0.3	0	0	0.269	0.083	0	0	0	0.066	0.243	0.127	0	0.188	0.057	0	0.123	0.083	0.229	0	0	0	0.251	0.032	0.083	0.243	0	0	0	0.1	0.071	-0.065	0	0	0.048	-0.015	0	0	-0.031	-0.078	0
