	Pop001	Pop002	Pop003	Pop004	Pop005	Pop006	Pop007	Pop008	Pop009	Pop010	Pop011	Pop012	Pop013	Pop014	Pop015	Pop016	Pop017	Pop018	Pop019	Pop020	Pop021	Pop022	Pop023	Pop024	Pop025	Pop026	Pop027	Pop028	Pop029	Pop030	Pop031	Pop032	Pop033	Pop034	Pop035	Pop036	Pop037	Pop038	Pop039	Pop040	Pop041	Pop042	Pop043	Pop044	Pop045	Pop046	Pop047	Pop048	Pop049	Pop050	Pop051	Pop052	Pop053	Pop054	Pop055	Pop056	Pop057	Pop058	Pop059	Pop060	Pop061	Pop062	Pop063	Pop064	Pop065	Pop066	Pop067	Pop068	Pop069	Pop070	Pop071	Pop072	Pop073	Pop074	Pop075	Pop076
Pop041	0.039	0.015	0	0	0.017	0.007	0.017	0.064	-0.036	0.033	-0.017	0.032	-0.004	0.025	0.02	0.059	0	0.021	0.038	0.057	-0.011	0	0.014	0.026	0.058	0	0.013	0.033	0	0.006	0.045	-0.007	0	0.049	0.014	0.014	0	0	0.031	0.03	0	0	0	0	0.078	0	-0.004	0.006	0.019	0.039	-0.012	0.019	0.063	0.051	0.024	0.032	0.021	0.047	0.017	0.047	0.057	0.005	0.054	0.034	0	0.013	0.012	-0.03	0.02	0	0	0.009	0	0	0	0
Pop042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop045	-0.049	-0.003	0	-0.015	0.005	-0.024	-0.025	0.017	0.016	-0.007	-0.042	0.019	0.015	-0.013	-0.011	0.033	0	-0.003	0.017	0.038	-0.018	0	0.038	-0.026	0.023	0	0.05	-0.013	0	-0.003	0.074	0.034	0	0.019	-0.007	-0.025	0	0	0.011	-0.009	0.078	0	0	0	0	0	0.023	0.022	0.139	0.039	0.056	-0.089	-0.028	0.036	-0.023	0.017	0.094	0.003	0	-0.052	-0.036	0.001	0.063	0.057	0.019	-0.004	0.073	-0.012	-0.005	0	0	0.079	0	0	0	0
Pop046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop047	-0.031	0.025	0	0.013	0.001	0.028	0.013	0.013	-0.028	0.01	-0.024	-0.018	-0.009	0.04	-0.003	0.035	0	0.108	0.004	0.007	-0.005	0	-0.004	0.01	0.045	0	-0.054	-0.001	0	0.018	0.05	0.046	0	0.018	0.045	-0.018	0	0	-0.008	-0.037	-0.004	0	0	0	0.023	0	0	0.029	0.014	-0.016	-0.008	-0.02	0.046	0.003	-0.018	-0.002	0.006	0.024	0.013	-0.029	0.036	-0.019	0.035	0.029	0	0.012	0.012	0.043	0.025	0	0	0.002	0	0	0	0
Pop048	0.023	0.001	0	-0.089	0.009	0	-0.007	0.038	0.016	0.031	-0.025	0.092	0.003	0.026	0.005	-0.017	0	0	0.008	-0.004	0.023	0	0.061	0.041	0.08	0	-0.005	0.038	0	0.018	0.06	0.012	0	0.037	0.047	-0.012	0	0	0.028	-0.004	0.006	0	0	0	0.022	0	0.029	0	0.016	0.006	0	0.104	0.053	0.022	0.023	0.008	-0.001	0.033	-0.004	0.05	0.026	-0.007	-0.007	0.001	0	-0.005	0.025	0	0.018	0	0	0.044	0	0	0	0
Pop049	0.023	0.051	0	0.074	0.051	0.022	0.028	0.093	0.08	0.088	0.072	0.075	0.07	0	0.042	0.043	0	0.042	0.077	0.017	-0.002	0	0.138	0.106	0.129	0	0.067	0.059	0	0.047	0.096	0.036	0	0.082	0.033	0.085	0	0	0.055	0.039	0.019	0	0	0	0.139	0	0.014	0.016	0	0.044	0.048	0.029	0.096	0.059	0.036	0.045	0.036	-0.005	0.068	0.058	0.088	0.035	0.031	-0.002	0.075	0.043	0.052	0	0.075	0	0	0.061	0	0	0	0
Pop050	0.033	0.024	0	-0.021	0.022	0.016	-0.02	0.032	0	0.022	-0.001	0.002	0.049	0.032	0.01	-0.008	0	-0.015	0.007	0.004	-0.004	0	0.06	0.039	0.05	0	-0.008	0.001	0	0.03	-0.026	0.009	0	0.015	0.028	-0.019	0	0	-0.019	-0.045	0.039	0	0	0	0.039	0	-0.016	0.006	0.044	0	0	-0.002	0.024	0.028	0.016	0.003	0.01	0.012	-0.006	-0.011	0.006	0.006	-0.016	0.005	0.013	0.014	-0.008	0.002	0.036	0	0	-0.013	0	0	0	0
