spp,R-Squared:,F-Statistic:,F p-value:
CD,0.0295553604697358,7.12658308181885,0.1852
DS,0.0442240808394759,21.5157100928199,0.0817
EC,0.270791110045099,40.9969474601823,1e-4
LS,0.0465956356001951,19.1093036700599,0.0513
PA,0.00510898196844045,1.20061389898234,0.8889
TO,0.0283095616976934,16.4492495803946,0.2327
