,BA,BO,LA,MN,PX
BA,0,0.032,0.038,0.009,0.077
BO,0.032,0,0.01,0.021,0.056
LA,0.038,0.01,0,0.039,0.061
MN,0.009,0.021,0.039,0,0.069
PX,0.077,0.056,0.061,0.069,0
