Species,Population,Fis
EC,BA,-0.113
EC,LA,-0.088
EC,PX,-0.123
EC,Overall,-0.099
PA,BA,0.171
PA,BO,0.174
PA,LA,0.172
PA,MN,0.036
PA,PX,0.163
PA,Overall,0.161
TO,BA,0.134
TO,BO,0.141
TO,LA,0.122
TO,MN,0.138
TO,PX,0.075
TO,Overall,0.125
CD,BA,
CD,LA,
CD,PX,
CD,Overall,
