,BA,BO,LA,MN,PX
BA,0,0.002,0.001,0.005,0.001
BO,0.002,0,0.001,0.009,0.001
LA,0.001,0.001,0,0.132,0.972
MN,0.005,0.009,0.132,0,0.111
PX,0.001,0.001,0.972,0.111,0
