,BA,BO,LA,MN,PX
BA,0,0.008,0.011,0.001,0.023
BO,0.008,0,0.009,0.008,0.013
LA,0.011,0.009,0,0.009,0.009
MN,0.001,0.008,0.009,0,0.015
PX,0.023,0.013,0.009,0.015,0
