,BA,BO,LA,MN,PX
BA,0,0.008,0.011,0.369,0.015
BO,0.008,0,0.024,0.375,0.028
LA,0.011,0.024,0,0.087,-0.002
MN,0.369,0.375,0.087,0,0.176
PX,0.015,0.028,-0.002,0.176,0
