,BA,BO,LA,MN,PX
BA,0,0.001,0.001,0.002,0.001
BO,0.001,0,0.001,0.001,0.001
LA,0.001,0.001,0,0.001,0.001
MN,0.002,0.001,0.001,0,0.001
PX,0.001,0.001,0.001,0.001,0
