ustacks discarded,Total,cutsite_not_found,low_quality,retained_reads,total_reads_for_sublibrary,prop_sample_per_library,prop_reads_retained_per_sample
no,10090088.7261905,0,1159.113945578234,10075192.451530626,64399492.69132655,0.16089816099829932,0.9991200128086735
yes,7491375.230769231,0,865.3846153846154,7490509.846153846,61682172.92307692,0.12306577015384615,0.9998853135384616
