0,sample,species,city,population,type
,EC.LA.AC1.U.1,EC,LA,AC1,U
,EC.LA.VB1.U.1,EC,LA,VB1,U
,EC.LA.VB1.U.3,EC,LA,VB1,U
,EC.LA.SGR.U.4,EC,LA,SGR,U
,EC.LA.SGR.U.5,EC,LA,SGR,U
,EC.LA.HOW.U.3,EC,LA,HOW,U
,EC.PX.BUF.M.1,EC,PX,BUF,M
,EC.PX.BUF.M.3,EC,PX,BUF,M
,EC.PX.ALA.M.3,EC,PX,ALA,M
,EC.PX.MTN.M.2,EC,PX,MTN,M
,EC.PX.WES.M.1,EC,PX,WES,M
,EC.PX.WES.M.2,EC,PX,WES,M
,EC.PX.MAN.M.1,EC,PX,MAN,M
,EC.PX.CLA.M.1,EC,PX,CLA,M
,EC.PX.PSC.M.1,EC,PX,PSC,M
,EC.PX.DF1.M.1,EC,PX,DF1,M
,EC.PX.DOW.M.1,EC,PX,DOW,M
,EC.PX.DOW.M.2,EC,PX,DOW,M
,EC.PX.COY.M.2,EC,PX,COY,M
,EC.PX.COY.M.3,EC,PX,COY,M
,EC.PX.ALA.M.5,EC,PX,ALA,M
,LS.BA.WB.U.1,LS,BA,WB,U
,LS.BA.WB.U.2,LS,BA,WB,U
,LS.BA.DHI.U.2,LS,BA,DHI,U
,LS.BA.GA.U.1,LS,BA,GA,U
,LS.BA.PIK.U.3,LS,BA,PIK,U
,LS.BA.PIK.U.5,LS,BA,PIK,U
,LS.BA.CP.U.2,LS,BA,CP,U
,LS.BA.ML.U.2,LS,BA,ML,U
,LS.BA.WBO.U.3,LS,BA,WBO,U
,LS.BO.WL3.M.4,LS,BO,WL3,M
,LS.BO.I1.U.1,LS,BO,I1,U
,LS.BO.I2.U.1,LS,BO,I2,U
,LS.BO.WL2.M.2,LS,BO,WL2,M
,LS.BO.R1.U.2,LS,BO,R1,U
,LS.BO.R2.U.4,LS,BO,R2,U
,LS.BO.R3.U.3,LS,BO,R3,U
,LS.BO.HC4.M.3,LS,BO,HC4,M
,LS.BO.LC4.M.2,LS,BO,LC4,M
,LS.LA.VET.M.4,LS,LA,VET,M
,LS.LA.SSV.M.1,LS,LA,SSV,M
,LS.LA.NAV.M.4,LS,LA,NAV,M
,LS.LA.SHO.M.2,LS,LA,SHO,M
,LS.LA.WES.M.3,LS,LA,WES,M
,LS.LA.GLO.M.3,LS,LA,GLO,M
,LS.LA.HOW.U.5,LS,LA,HOW,U
,LS.LA.SAN.U.2,LS,LA,SAN,U
,LS.LA.ARR.U.2,LS,LA,ARR,U
,LS.MN.L06-LS.U.2,LS,MN,L06-LS,U
,LS.MN.L06-LS.U.5,LS,MN,L06-LS,U
,LS.MN.L07-LS.U.4,LS,MN,L07-LS,U
,LS.MN.L08-LS.U.5,LS,MN,L08-LS,U
,LS.MN.L09-LS.U.3,LS,MN,L09-LS,U
,LS.MN.L01-LS.M.4,LS,MN,L01-LS,M
,LS.MN.L01-LS.U.3,LS,MN,L01-LS,U
,LS.MN.L02-LS.U.1,LS,MN,L02-LS,U
,LS.MN.L05-LS.U.2,LS,MN,L05-LS,U
,LS.PX.MON.U.2,LS,PX,MON,U
,LS.PX.PKW.U.5,LS,PX,PKW,U
,LS.PX.PIE.M.4,LS,PX,PIE,M
,LS.PX.ALA.M.3,LS,PX,ALA,M
,LS.PX.PAL.M.3,LS,PX,PAL,M
,LS.PX.MAN.M.2,LS,PX,MAN,M
,LS.PX.NUE.M.1,LS,PX,NUE,M
,LS.PX.ENC.M.4,LS,PX,ENC,M
,LS.PX.COY.M.3,LS,PX,COY,M
,PA.BA.PIK.U.1,PA,BA,PIK,U
,PA.BA.LH-3.M.2,PA,BA,LH-3,M
,PA.BA.LH-3.M.3,PA,BA,LH-3,M
,PA.BA.WB.U.1,PA,BA,WB,U
,PA.BA.AA.U.1,PA,BA,AA,U
,PA.BA.WGP.M.3,PA,BA,WGP,M
,PA.BA.LL-4.M.3,PA,BA,LL-4,M
,PA.BA.LA.U.2,PA,BA,LA,U
,PA.BA.LH-2.M.2,PA,BA,LH-2,M
,PA.BA.W3.M.3,PA,BA,W3,M
,PA.BA.RG-1.M.2,PA,BA,RG-1,M
,PA.BA.LL-3.M.5,PA,BA,LL-3,M
,PA.BO.I2.U.3,PA,BO,I2,U
,PA.BO.HC1.M.4,PA,BO,HC1,M
,PA.BO.R3.U.2,PA,BO,R3,U
,PA.BO.HC4.M.5,PA,BO,HC4,M
,PA.BO.R4.U.2,PA,BO,R4,U
,PA.BO.WL2.M.5,PA,BO,WL2,M
,PA.BO.WL4.M.4,PA,BO,WL4,M
,PA.BO.LC4.M.4,PA,BO,LC4,M
,PA.BO.HC2.M.1,PA,BO,HC2,M
,PA.BO.R1.U.2,PA,BO,R1,U
,PA.BO.WL1.M.1,PA,BO,WL1,M
,PA.BO.I1.U.5,PA,BO,I1,U
,PA.LA.ALL.M.5,PA,LA,ALL,M
,PA.LA.SEP.M.1,PA,LA,SEP,M
,PA.LA.SEP.M.5,PA,LA,SEP,M
,PA.LA.WHI.M.2,PA,LA,WHI,M
,PA.LA.ROS.M.5,PA,LA,ROS,M
,PA.LA.LUB.M.2,PA,LA,LUB,M
,PA.LA.GLO.M.2,PA,LA,GLO,M
,PA.LA.ZOO.M.4,PA,LA,ZOO,M
,PA.LA.ZOO.M.5,PA,LA,ZOO,M
,PA.LA.NWH.M.2,PA,LA,NWH,M
,PA.LA.KIN.M.4,PA,LA,KIN,M
,PA.LA.POP.M.4,PA,LA,POP,M
,PA.PX.BUF.M.3,PA,PX,BUF,M
,PA.PX.PIE.M.4,PA,PX,PIE,M
,PA.PX.LAP.M.5,PA,PX,LAP,M
,PA.PX.ALA.M.1,PA,PX,ALA,M
,PA.PX.PAP.M.2,PA,PX,PAP,M
,PA.PX.PAP.M.5,PA,PX,PAP,M
,PA.PX.DF1.M.2,PA,PX,DF1,M
,PA.PX.RPP.U.3,PA,PX,RPP,U
,PA.PX.ENC.M.4,PA,PX,ENC,M
,PA.PX.ENC.M.5,PA,PX,ENC,M
,PA.PX.COY.M.1,PA,PX,COY,M
,PA.PX.BUF.M.2,PA,PX,BUF,M
,TO.BA.WBO.U.4,TO,BA,WBO,U
,TO.BA.CP.U.1,TO,BA,CP,U
,TO.BA.FH.U.1,TO,BA,FH,U
,TO.BA.LH-3.M.4,TO,BA,LH-3,M
,TO.BA.WGP.M.3,TO,BA,WGP,M
,TO.BA.GA.U.4,TO,BA,GA,U
,TO.BA.PIK.U.4,TO,BA,PIK,U
,TO.BA.PSP.M.1,TO,BA,PSP,M
,TO.BA.RG-2.M.2,TO,BA,RG-2,M
,TO.BO.HC1.M.4,TO,BO,HC1,M
,TO.BO.HC2.M.5,TO,BO,HC2,M
,TO.BO.HC3.M.1,TO,BO,HC3,M
,TO.BO.HC4.M.5,TO,BO,HC4,M
,TO.BO.LC1.M.1,TO,BO,LC1,M
,TO.BO.LC2.M.5,TO,BO,LC2,M
,TO.BO.LC3.M.1,TO,BO,LC3,M
,TO.BO.WL2.M.1,TO,BO,WL2,M
,TO.BO.I2.U.3,TO,BO,I2,U
,TO.LA.WHI.M.5,TO,LA,WHI,M
,TO.LA.HAR.M.4,TO,LA,HAR,M
,TO.LA.MR1.M.1,TO,LA,MR1,M
,TO.LA.GLO.M.5,TO,LA,GLO,M
,TO.LA.ZOO.M.1,TO,LA,ZOO,M
,TO.LA.NWH.M.4,TO,LA,NWH,M
,TO.LA.VNS.M.2,TO,LA,VNS,M
,TO.LA.PEP.M.5,TO,LA,PEP,M
,TO.LA.COM.M.4,TO,LA,COM,M
,TO.MN.L11-TO.M.3,TO,MN,L11-TO,M
,TO.MN.L02-TO.U.1,TO,MN,L02-TO,U
,TO.MN.L04-TO.U.1,TO,MN,L04-TO,U
,TO.MN.L06-TO.U.2,TO,MN,L06-TO,U
,TO.MN.L08-TO.U.5,TO,MN,L08-TO,U
,TO.MN.L09-TO.U.2,TO,MN,L09-TO,U
,TO.MN.L11-TO.U.3,TO,MN,L11-TO,U
,TO.MN.L05-TO.M.5,TO,MN,L05-TO,M
,TO.MN.L08-TO.M.5,TO,MN,L08-TO,M
,TO.PX.BUF.M.1,TO,PX,BUF,M
,TO.PX.ALA.M.2,TO,PX,ALA,M
,TO.PX.LAP.M.4,TO,PX,LAP,M
,TO.PX.WES.M.1,TO,PX,WES,M
,TO.PX.CLA.M.1,TO,PX,CLA,M
,TO.PX.DF1.M.1,TO,PX,DF1,M
,TO.PX.DF2.M.1,TO,PX,DF2,M
,TO.PX.COY.M.1,TO,PX,COY,M
,TO.PX.COY.M.6,TO,PX,COY,M
