ustacks discarded,sample, population ,Total,cutsite_not_found,low_quality,retained_reads,total_reads_for_sublibrary,prop_sample_per_library,prop_reads_retained_per_sample
no,TO.MN.L11-TO.M.2,Minneapolis,10364210,0,1149,10363061,47328283,0.218985548,0.999889
no,TO.MN.L11-TO.M.3,Minneapolis,7647650,0,970,7646680,47328283,0.161587311,0.999873
no,TO.MN.L11-TO.M.5,Minneapolis,10839386,0,1233,10838153,47328283,0.229025549,0.999886
no,TO.MN.L11-TO.U.1,Minneapolis,1441460,0,146,1441314,58700599,0.024556138,0.999899
no,TO.MN.L11-TO.U.3,Minneapolis,2313548,0,241,2313307,61748404,0.037467333,0.999896
no,TO.MN.L11-TO.U.4,Minneapolis,1477616,0,185,1477431,61748404,0.023929623,0.999875
no,TO.PX.ALA.M.2,Phoenix,4908576,0,505,4908071,61258063,0.080129468,0.999897
no,TO.PX.ALA.M.3,Phoenix,1243822,0,132,1243690,61258063,0.020304625,0.999894
no,TO.PX.ALA.M.4,Phoenix,1104504,0,112,1104392,55300858,0.019972638,0.999899
no,TO.PX.ALA.M.5,Phoenix,3265162,0,371,3264791,55300858,0.059043605,0.999886
no,TO.PX.BUF.M.1,Phoenix,2610398,0,326,2610072,86112066,0.030313963,0.999875
no,TO.PX.BUF.M.2,Phoenix,1144160,0,131,1144029,86112066,0.013286872,0.999885506
no,TO.PX.CLA.M.1,Phoenix,1061544,0,116,1061428,59017095,0.01798706,0.999891
no,TO.PX.COY.M.1,Phoenix,9174674,0,1050,9173624,51854414,0.176931399,0.999886
no,TO.PX.COY.M.3,Phoenix,1021824,0,107,1021717,51854414,0.019705632,0.999895
no,TO.PX.COY.M.6,Phoenix,8483120,0,957,8482163,51854414,0.163594945,0.999887
no,TO.PX.DF1.M.1,Phoenix,1986342,0,250,1986092,57477616,0.034558531,0.999874
no,TO.PX.DF2.M.1,Phoenix,1778896,0,182,1778714,55672462,0.031952889,0.999898
no,TO.PX.LAP.M.3,Phoenix,1153754,0,171,1153583,60904779,0.018943571,0.999852
no,TO.PX.LAP.M.4,Phoenix,5296114,0,653,5295461,60904779,0.086957281,0.999877
no,TO.PX.WES.M.1,Phoenix,4349824,0,513,4349311,57423880,0.075749392,0.999882
no,TO.PX.WES.M.2,Phoenix,11830880,0,1452,11829428,57423880,0.206027179,0.999877
