Filename,Population
CD.PX.MTN.M.5,Phoenix
CD.PX.NES.U.1,Phoenix
CD.PX.NES.U.2,Phoenix
CD.PX.NES.U.3,Phoenix
CD.PX.NES.U.4,Phoenix
CD.PX.NES.U.5,Phoenix
CD.PX.NET.U.2,Phoenix
CD.PX.NET.U.4,Phoenix
CD.PX.NUE.M.2,Phoenix
CD.PX.NUE.M.5,Phoenix
CD.PX.PAL.M.1,Phoenix
CD.PX.PAL.M.3,Phoenix
CD.PX.PAL.M.4,Phoenix
CD.PX.PAL.M.5,Phoenix
CD.PX.PKW.U.2,Phoenix
CD.PX.PKW.U.3,Phoenix
CD.PX.PKW.U.4,Phoenix
CD.PX.PKW.U.5,Phoenix
CD.PX.PSC.M.1,Phoenix
CD.PX.PSC.M.3,Phoenix
CD.PX.PSC.M.5,Phoenix
CD.PX.RPC.M.1,Phoenix
CD.PX.RPC.M.3,Phoenix
CD.PX.RPC.M.4,Phoenix
CD.PX.RPC.M.5,Phoenix
CD.PX.RRT.U.2,Phoenix
CD.PX.RRT.U.4,Phoenix
CD.PX.RRT.U.5,Phoenix
CD.PX.WES.M.1,Phoenix
CD.PX.WES.M.3,Phoenix
CD.PX.WES.M.4,Phoenix
CD.PX.WES.M.5,Phoenix
DS.BA.AA.U.1,Baltimore
DS.BA.AA.U.2,Baltimore
DS.BA.AA.U.4,Baltimore
DS.BA.CP.U.2,Baltimore
DS.BA.CP.U.5,Baltimore
DS.BA.DHI.U.1,Baltimore
DS.BA.DHI.U.3,Baltimore
DS.BA.DHI.U.4,Baltimore
DS.BA.DHI.U.5,Baltimore
DS.BA.GA.U.1,Baltimore
DS.BA.GA.U.2,Baltimore
DS.BA.GA.U.3,Baltimore
DS.BA.GA.U.4,Baltimore
DS.BA.LA.U.1,Baltimore
DS.BA.LA.U.2,Baltimore
DS.BA.LA.U.3,Baltimore
DS.BA.LA.U.5,Baltimore
DS.BA.LH-1.M.1,Baltimore
DS.BA.LH-1.M.2,Baltimore
DS.BA.LH-1.M.4,Baltimore
DS.BA.LH-2.M.1,Baltimore
DS.BA.LH-2.M.3,Baltimore
DS.BA.LH-2.M.5,Baltimore
DS.BA.LH-3.M.1,Baltimore
DS.BA.LH-3.M.2,Baltimore
DS.BA.LH-3.M.3,Baltimore
DS.BA.LH-3.M.4,Baltimore
DS.BA.LH-3.M.5,Baltimore
DS.BA.LL-3.M.1,Baltimore
DS.BA.LL-3.M.3,Baltimore
DS.BA.LL-4.M.1,Baltimore
DS.BA.LL-4.M.3,Baltimore
DS.BA.LL-4.M.5,Baltimore
DS.BA.PIK.U.1,Baltimore
DS.BA.PIK.U.3,Baltimore
DS.BA.PSP.M.2,Baltimore
DS.BA.PSP.M.5,Baltimore
DS.BA.RG-1.M.1,Baltimore
DS.BA.RG-1.M.3,Baltimore
DS.BA.RG-1.M.4,Baltimore
DS.BA.RG-2.M.2,Baltimore
DS.BA.RG-2.M.3,Baltimore
DS.BA.RG-2.M.4,Baltimore
DS.BA.RG-2.M.5,Baltimore
DS.BA.TRC.U.2,Baltimore
DS.BA.TRC.U.3,Baltimore
DS.BA.TRC.U.4,Baltimore
DS.BA.TRC.U.5,Baltimore
DS.BA.W3.M.2,Baltimore
DS.BA.W3.M.3,Baltimore
DS.BA.W3.M.4,Baltimore
DS.BA.WB.U.2,Baltimore
DS.BA.WB.U.3,Baltimore
DS.BA.WB.U.4,Baltimore
DS.BA.WB.U.5,Baltimore
DS.BO.HC1.M.1,Boston
DS.BO.HC1.M.2,Boston
DS.BO.HC1.M.3,Boston
DS.BO.HC1.M.5,Boston
DS.BO.HC2.M.2,Boston
DS.BO.HC2.M.3,Boston
DS.BO.HC2.M.4,Boston
DS.BO.HC2.M.5,Boston
DS.BO.HC4.M.1,Boston
DS.BO.HC4.M.3,Boston
DS.BO.HC4.M.4,Boston
DS.BO.HC4.M.5,Boston
DS.BO.I1.U.3,Boston
DS.BO.I2.U.1,Boston
DS.BO.I4.U.1,Boston
DS.BO.I4.U.3,Boston
DS.BO.I4.U.4,Boston
DS.BO.I4.U.5,Boston
DS.BO.LC1.M.1,Boston
DS.BO.LC1.M.2,Boston
DS.BO.LC1.M.3,Boston
DS.BO.LC1.M.5,Boston
DS.BO.LC2.M.2,Boston
DS.BO.LC2.M.3,Boston
DS.BO.LC2.M.5,Boston
DS.BO.LC3.M.5,Boston
DS.BO.LC4.M.2,Boston
DS.BO.LC4.M.4,Boston
DS.BO.R1.U.1,Boston
DS.BO.R1.U.2,Boston
DS.BO.R1.U.3,Boston
DS.BO.R1.U.4,Boston
DS.BO.R2.U.1,Boston
DS.BO.R2.U.2,Boston
DS.BO.R2.U.3,Boston
DS.BO.R2.U.5,Boston
DS.BO.R3.U.1,Boston
DS.BO.R3.U.4,Boston
DS.BO.R4.U.1,Boston
DS.BO.R4.U.2,Boston
DS.BO.R4.U.4,Boston
DS.BO.R4.U.5,Boston
DS.BO.WL1.M.1,Boston
DS.BO.WL1.M.2,Boston
DS.BO.WL1.M.4,Boston
DS.BO.WL2.M.1,Boston
DS.BO.WL2.M.3,Boston
DS.BO.WL3.M.1,Boston
DS.BO.WL3.M.3,Boston
DS.BO.WL3.M.4,Boston
DS.BO.WL3.M.5,Boston
DS.BO.WL4.M.2,Boston
DS.BO.WL4.M.3,Boston
DS.BO.WL4.M.5,Boston
DS.MN.L01-DS.M.1,Minneapolis
DS.MN.L01-DS.M.2,Minneapolis
DS.MN.L01-DS.M.3,Minneapolis
DS.MN.L01-DS.M.5,Minneapolis
DS.MN.L01-DS.U.2,Minneapolis
DS.MN.L01-DS.U.3,Minneapolis
DS.MN.L01-DS.U.4,Minneapolis
DS.MN.L02-DS.M.2,Minneapolis
DS.MN.L02-DS.M.4,Minneapolis
DS.MN.L02-DS.M.5,Minneapolis
DS.MN.L02-DS.U.1,Minneapolis
DS.MN.L02-DS.U.2,Minneapolis
DS.MN.L02-DS.U.3,Minneapolis
DS.MN.L02-DS.U.4,Minneapolis
DS.MN.L03-DS.M.1,Minneapolis
DS.MN.L03-DS.M.2,Minneapolis
DS.MN.L03-DS.M.4,Minneapolis
DS.MN.L03-DS.M.5,Minneapolis
DS.MN.L03-DS.U.1,Minneapolis
DS.MN.L03-DS.U.2,Minneapolis
DS.MN.L03-DS.U.3,Minneapolis
DS.MN.L03-DS.U.4,Minneapolis
DS.MN.L03-DS.U.5,Minneapolis
DS.MN.L04-DS.M.1,Minneapolis
DS.MN.L04-DS.M.2,Minneapolis
DS.MN.L04-DS.M.3,Minneapolis
DS.MN.L04-DS.M.5,Minneapolis
DS.MN.L04-DS.U.2,Minneapolis
DS.MN.L04-DS.U.4,Minneapolis
DS.MN.L04-DS.U.5,Minneapolis
DS.MN.L05-DS.M.3,Minneapolis
DS.MN.L05-DS.M.5,Minneapolis
DS.MN.L05-DS.U.1,Minneapolis
DS.MN.L05-DS.U.2,Minneapolis
DS.MN.L05-DS.U.4,Minneapolis
DS.MN.L06-DS.M.1,Minneapolis
DS.MN.L06-DS.M.2,Minneapolis
DS.MN.L06-DS.M.4,Minneapolis
DS.MN.L06-DS.U.1,Minneapolis
DS.MN.L06-DS.U.2,Minneapolis
DS.MN.L06-DS.U.3,Minneapolis
DS.MN.L06-DS.U.4,Minneapolis
DS.MN.L06-DS.U.5,Minneapolis
DS.MN.L07-DS.M.1,Minneapolis
DS.MN.L07-DS.M.3,Minneapolis
DS.MN.L07-DS.M.4,Minneapolis
DS.MN.L07-DS.U.1,Minneapolis
DS.MN.L07-DS.U.3,Minneapolis
DS.MN.L07-DS.U.5,Minneapolis
DS.MN.L08-DS.M.2,Minneapolis
DS.MN.L08-DS.M.4,Minneapolis
DS.MN.L08-DS.M.5,Minneapolis
DS.MN.L08-DS.U.1,Minneapolis
DS.MN.L08-DS.U.2,Minneapolis
DS.MN.L08-DS.U.3,Minneapolis
DS.MN.L08-DS.U.5,Minneapolis
DS.MN.L09-DS.M.1,Minneapolis
DS.MN.L09-DS.M.2,Minneapolis
DS.MN.L09-DS.M.3,Minneapolis
DS.MN.L09-DS.M.5,Minneapolis
DS.MN.L09-DS.U.2,Minneapolis
DS.MN.L09-DS.U.3,Minneapolis
DS.MN.L09-DS.U.4,Minneapolis
DS.MN.L09-DS.U.5,Minneapolis
DS.MN.L10-DS.M.3,Minneapolis
DS.MN.L10-DS.M.5,Minneapolis
DS.MN.L10-DS.U.1,Minneapolis
DS.MN.L10-DS.U.3,Minneapolis
DS.MN.L10-DS.U.5,Minneapolis
DS.MN.L11-DS.M.1,Minneapolis
DS.MN.L11-DS.M.2,Minneapolis
DS.MN.L11-DS.M.3,Minneapolis
DS.MN.L11-DS.M.4,Minneapolis
DS.MN.L11-DS.M.5,Minneapolis
DS.MN.L11-DS.U.1,Minneapolis
DS.MN.L11-DS.U.2,Minneapolis
DS.MN.L11-DS.U.3,Minneapolis
DS.MN.L11-DS.U.4,Minneapolis
DS.MN.L11-DS.U.5,Minneapolis
DS.MN.L12-DS.M.2,Minneapolis
DS.MN.L12-DS.M.5,Minneapolis
DS.PX.ALA.M.1,Phoenix
DS.PX.BUF.M.1,Phoenix
DS.PX.CLA.M.1,Phoenix
DS.PX.DF1.M.1,Phoenix
DS.PX.DF2.M.1,Phoenix
DS.PX.DF2.M.2,Phoenix
DS.PX.DF2.M.3,Phoenix
DS.PX.DOW.M.1,Phoenix
DS.PX.DOW.M.2,Phoenix
DS.PX.DOW.M.3,Phoenix
DS.PX.DOW.M.4,Phoenix
DS.PX.DOW.M.5,Phoenix
DS.PX.ENC.M.1,Phoenix
DS.PX.ENC.M.2,Phoenix
DS.PX.ENC.M.3,Phoenix
DS.PX.ENC.M.4,Phoenix
DS.PX.ENC.M.5,Phoenix
DS.PX.LAP.M.1,Phoenix
DS.PX.LAP.M.2,Phoenix
DS.PX.LAP.M.3,Phoenix
DS.PX.LAP.M.5,Phoenix
DS.PX.LAP.M.6,Phoenix
DS.PX.MTN.M.2,Phoenix
DS.PX.MTN.M.4,Phoenix
DS.PX.MTN.M.5,Phoenix
DS.PX.MTN.M.6,Phoenix
DS.PX.NUE.M.2,Phoenix
DS.PX.NUE.M.4,Phoenix
DS.PX.PIE.M.1,Phoenix
DS.PX.PIE.M.2,Phoenix
DS.PX.PIE.M.3,Phoenix
DS.PX.PIE.M.4,Phoenix
DS.PX.WES.M.1,Phoenix
DS.PX.WES.M.2,Phoenix
DS.PX.WES.M.3,Phoenix
DS.PX.WES.M.5,Phoenix
EC.BA.CP.U.2,Baltimore
EC.BA.CP.U.4,Baltimore
EC.BA.CP.U.5,Baltimore
EC.BA.FH.U.1,Baltimore
EC.BA.FH.U.2,Baltimore
EC.BA.FH.U.3,Baltimore
EC.BA.FH.U.4,Baltimore
EC.BA.FH.U.5,Baltimore
EC.BA.GA.U.1,Baltimore
EC.BA.GA.U.2,Baltimore
EC.BA.GA.U.3,Baltimore
EC.BA.GA.U.4,Baltimore
EC.BA.GA.U.5,Baltimore
EC.BA.LH-2.M.1,Baltimore
EC.BA.LH-2.M.2,Baltimore
