sample,population ,catalog_loci_match_count
LS.BA.GA.U.4,Baltimore,4
LS.LA.CRI.U.3,Los Angeles,1
LS.LA.VER.U.2,Los Angeles,6
LS.LA.VER.U.5,Los Angeles,2
LS.LA.CAN.U.3,Los Angeles,2
LS.LA.MRC.U.2,Los Angeles,4
LS.LA.MRC.U.5,Los Angeles,11
PA.BA.PSP.M.2,Baltimore,2
