,sublibrary,total_sequences,barcodes_not_found,low_quality,cutsite_not_found,retained_reads,%_retained,notes
0,AMH_macro_14_11_8px_S191,74393660,1384684,8260,0,73000716,98.13,
0,AMH_macro_14_12_8px_S192,66315642,1337690,7223,0,64970729,97.97,
0,AMH_macro_14_13_4px_S193,33374672,808186,3670,0,32562816,97.57,
0,AMH_macro_14_2_8px_S182,58646876,1162698,6562,0,57477616,98.01,
0,AMH_macro_14_3_8px_S183,56784182,1105486,6234,0,55672462,98.04,
0,AMH_macro_14_4_8px_S184,64351976,1451002,7093,0,62893881,97.73,
0,AMH_macro_14_5_8px_S185,59400822,1202962,6817,0,58191043,97.96,
0,AMH_macro_14_6_8px_S186,66428322,1254212,7593,0,65166517,98.1,
0,AMH_macro_14_7_8px_S187,64333084,1456698,7297,0,62869089,97.72,
0,AMH_macro_14_8_8px_S188,58367936,1233874,6385,0,57127677,97.88,
0,AMH_macro_14_9_8px_S189,52884520,1024278,5828,0,51854414,98.05,
0,AMH_macro_2_1_12px_S15,93941174,1776116,10541,0,92154517,98.1,
0,AMH_macro_2_10_8px_S24,65458764,1354172,7349,0,64097243,97.92,
0,AMH_macro_2_11_8px_S25,58621600,1645798,6717,0,56969085,97.18,
0,AMH_macro_2_12_8px_S26,50118596,1594166,5571,0,48518859,96.81,
0,AMH_macro_2_13_8px_S27,71428520,1541610,8019,0,69878891,97.83,
0,AMH_macro_2_14_8px_S28,50726952,1115958,5694,0,49605300,97.79,
0,AMH_macro_2_2_12px_S16,75958214,1539832,8524,0,74409858,97.96,
0,AMH_macro_2_3_12px_S17,81061590,1753696,9005,0,79298889,97.83,
0,AMH_macro_2_4_12px_S18,86155996,1822250,9643,0,84324103,97.87,
0,AMH_macro_2_5_8px_S19,65679358,1279296,7486,0,64392576,98.04,
0,AMH_macro_2_6_8px_S20,42793498,1098896,4996,0,41689606,97.42,
0,AMH_macro_2_7_8px_S21,49515038,1171536,5547,0,48337955,97.62,
0,AMH_macro_2_8_8px_S22,63687312,1426844,7033,0,62253435,97.75,
0,AMH_macro_2_9_8px_S23,56118018,1180668,6292,0,54931058,97.88,
0,AMH_macro_3_1_12px_S29,62681108,1413274,6794,0,61261040,97.73,
0,AMH_macro_3_10_8px_S38,57328520,1519540,6320,0,55802660,97.34,
0,AMH_macro_3_11_8px_S39,58844908,1525076,6596,0,57313236,97.4,Barcodes originally swapped with 3_12
0,AMH_macro_3_12_8px_S40,52632412,1292616,5843,0,51333953,97.5,Barcodes originally swapped with 3_11
0,AMH_macro_3_13_8px_S41,50641616,1381022,5750,0,49254844,97.26,
0,AMH_macro_3_14_8px_S42,57270378,1215092,6447,0,56048839,97.87,
0,AMH_macro_3_2_12px_S30,91940614,1758846,10351,0,90171417,98.08,
0,AMH_macro_3_3_12px_S31,73701924,1445268,8632,0,72248024,98.03,
0,AMH_macro_3_4_12px_S32,70738916,1613344,8044,0,69117528,97.71,
0,AMH_macro_3_5_8px_S33,75597758,1490618,8634,0,74098506,98.02,
0,AMH_macro_3_6_8px_S34,62201524,1273954,7032,0,60920538,97.94,
0,AMH_macro_3_7_8px_S35,52080640,1193906,5973,0,50880761,97.7,
0,AMH_macro_3_8_8px_S36,73466612,1390490,8323,0,72067799,98.1,
0,AMH_macro_3_9_8px_S37,67005292,1591442,7489,0,65406361,97.61,
0,AMH_macro_4_1_12px_S43,62056424,1471762,7002,0,60577660,97.62,
