"","X","V1","V2","HindHe","Depth","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"EC.BO.R4.U.1",1,"EC.BO.R4.U.1","Boston",0.378984648396417,2981,-1.53964656197578,1.8136143545688,1.44604770113833,-1.14617492399048,-0.856210854840149,-0.522775933192984,-0.671309309681211
"EC.BA.LH-2.M.1",2,"EC.BA.LH-2.M.1","Baltimore",0.232255603999397,25400,-2.72423596754574,0.531924264577338,3.5901145326307,-1.02139657612137,1.15944434732503,-3.51156444686858,1.57929459015779
"EC.BA.LH-2.M.2",3,"EC.BA.LH-2.M.2","Baltimore",0.361220435723927,74668,-4.18956205252092,2.6001998088682,-2.59421270953709,1.84027127103316,1.48947111503536,4.22576090038652,0.0635294460659732
"EC.PX.BUF.M.1",4,"EC.PX.BUF.M.1","Phoenix",0.513589800381128,372006,12.073587654088,0.268817359460743,2.64587300214398,9.39963711888945,-1.46877706106063,-2.19213254230687,0.946871269737428
"EC.PX.BUF.M.3",5,"EC.PX.BUF.M.3","Phoenix",0.3945454313164,48679,9.29846259991333,-0.0692270349019793,-2.20103392909813,-4.42949685902423,0.641547367591705,0.182543177452333,0.384498408054996
"EC.PX.BUF.M.6",6,"EC.PX.BUF.M.6","Phoenix",0.566400918486839,252857,12.8132640359422,0.648096219759006,-0.654914428495747,2.66228947090952,-0.304665161685712,0.496081248073331,-2.2587863614031
"EC.PX.ALA.M.2",7,"EC.PX.ALA.M.2","Phoenix",0.366123621852154,43371,5.67418219885635,-1.18616967322145,-0.95074281916426,-2.79735059848471,-1.88356503430585,-0.389268411939016,3.57068473054205
"EC.PX.ALA.M.3",8,"EC.PX.ALA.M.3","Phoenix",0.505049891399331,109472,10.942171351488,0.0864143934899919,-2.13037128471504,-5.04713278549392,0.496078363486873,0.323085201256279,-0.361258314596771
"EC.PX.ALA.M.5",9,"EC.PX.ALA.M.5","Phoenix",0.444065488551945,138554,11.3977985790921,-0.271247641661035,-1.238362792841,-3.74907004412648,0.491791238310866,1.05437017841567,0.0496073601396631
"EC.PX.MTN.M.2",10,"EC.PX.MTN.M.2","Phoenix",0.493152877369382,122509,10.6673059245271,-0.323369178651049,-0.865405035119393,-4.58503121979102,0.393491420348798,1.61787456429575,-0.00378172361915046
"EC.PX.MTN.M.3",11,"EC.PX.MTN.M.3","Phoenix",0.565848847255367,201237,13.1154821912323,0.510124160814659,-1.82181652360082,-0.344210316621822,-0.0260585967557248,0.730045300770762,-2.6548295724049
"EC.PX.NUE.M.2",12,"EC.PX.NUE.M.2","Phoenix",0.477183268256258,238631,11.1867603746529,-0.528541817583806,1.95239377765347,0.501011842036796,0.911997792765513,1.95294091766471,2.16534416214199
"EC.PX.WES.M.1",13,"EC.PX.WES.M.1","Phoenix",0.464583484065552,182172,10.0239384126361,-0.847400851837606,-1.55637865789803,-3.37392449978086,-1.29303246204121,-0.802567330420211,0.61224950047226
"EC.PX.WES.M.2",14,"EC.PX.WES.M.2","Phoenix",0.559205767415269,161877,11.9788712652836,0.129960084953314,-2.64544070612094,-4.65332386623343,1.0966507996918,1.39924843918824,-0.959909102512501
"EC.PX.WES.M.3",15,"EC.PX.WES.M.3","Phoenix",0.403638171758108,49665,8.84607562376012,0.156839998179767,-3.00914188842915,-3.68454905796635,0.776890310916203,-0.34501507580433,-0.363747261286425
"EC.PX.WES.M.4",16,"EC.PX.WES.M.4","Phoenix",0.376321327223285,31253,8.42110118483649,-0.137208988002461,-1.67862610808858,-3.89243489056429,1.55429346159757,0.0278971551169926,0.837937369682315
"EC.PX.MAN.M.1",17,"EC.PX.MAN.M.1","Phoenix",0.477843075074147,51149,10.1140850583359,0.704161662658139,-1.9876904738958,-4.0895530950967,0.905214832688581,0.164617583784478,-0.511771997449193
"EC.PX.MAN.M.4",18,"EC.PX.MAN.M.4","Phoenix",0.473657993308003,88092,11.4692751579054,0.414459018651492,-1.8954787814974,-4.24866133506205,0.653762936343275,0.619477551002885,-1.00432170382891
"EC.PX.CLA.M.1",19,"EC.PX.CLA.M.1","Phoenix",0.472906124779052,138350,12.1914379513236,0.364545532000625,-1.17405877213737,-4.30217298344269,0.871796995345522,0.820276401606009,-0.216650877256663
"EC.PX.PSC.M.1",20,"EC.PX.PSC.M.1","Phoenix",0.475468506800668,55689,8.73428380315758,-0.163754903826522,-2.41464861285513,-3.13922538144058,1.41053851640298,0.898016036941305,-0.113489735162611
"EC.PX.PSC.M.2",21,"EC.PX.PSC.M.2","Phoenix",0.574194313630351,265655,12.7583719198084,0.269141219273431,2.97452690315111,7.14611443664416,-1.25492910235499,-1.24979708567151,-0.591399999284914
