"","X","V1","V2","HindHe","Depth","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"CD.BA.RG-1.M.4",1,"CD.BA.RG-1.M.4","Baltimore",0.255783871435008,507,0.00450160195843876,-0.512164887158153,4.0538505121417,1.07495941259033,0.117703858852151,0.535706135052124,1.16801610622077,1.39725408967267,2.79043769038187,0.606049297926005
"CD.BA.RG-1.M.5",2,"CD.BA.RG-1.M.5","Baltimore",0.288339110627424,123,-0.437839497085618,-0.259942642717712,2.15963802738303,-1.67721928600146,0.0841786346040211,0.21916889741569,0.551226799505901,1.97106186000146,0.592883857892851,-0.242543709524814
"CD.BA.DHI.U.2",3,"CD.BA.DHI.U.2","Baltimore",NA,0,-0.437839497085618,-0.259942642717712,2.15963802738303,-1.67721928600146,0.0841786346040211,0.21916889741569,0.551226799505901,1.97106186000146,0.592883857892851,-0.242543709524814
"CD.BA.DHI.U.3",4,"CD.BA.DHI.U.3","Baltimore",NA,0,-0.437839497085618,-0.259942642717712,2.15963802738303,-1.67721928600146,0.0841786346040211,0.21916889741569,0.551226799505901,1.97106186000146,0.592883857892851,-0.242543709524814
"CD.BA.AA.U.1",5,"CD.BA.AA.U.1","Baltimore",0.305661172163783,174045,10.488897584873,1.74855245698247,0.818018339691546,0.767304073981209,-1.46464853752154,-1.99316583203473,1.13728683765593,-0.514408774820524,-0.184950927809676,-1.05704489539686
"CD.BA.AA.U.3",6,"CD.BA.AA.U.3","Baltimore",0.310406738630262,109916,12.4204873833544,2.1311853142597,-1.50967948463872,3.65795614074948,-0.44624193338684,-0.678187018413793,-2.15522595898101,2.32695962987982,-0.199360007209341,-2.69706240327255
"CD.BA.AA.U.4",7,"CD.BA.AA.U.4","Baltimore",0.419680758254965,1055863,10.830485734427,2.20463377845912,-4.33826794478749,4.54465458701829,-0.801294832151086,-2.09883226814053,-6.06897441531833,2.91983695222578,2.64555343553391,-2.94840868450683
"CD.BA.CP.U.2",8,"CD.BA.CP.U.2","Baltimore",0.380683613436365,305622,11.0348384868526,1.83151925887254,-1.87236308535845,2.97499050797068,-1.8691627968641,-1.48520629114637,-0.77008268712004,0.969549685879755,0.735059486928555,-2.32258770419093
"CD.BA.CP.U.4",9,"CD.BA.CP.U.4","Baltimore",0.358688809606807,452939,8.12688856619933,1.18156180445656,2.43211177176485,-5.35182582280388,1.46421998905459,0.206898770024432,0.586593945250811,-3.93424612359582,1.36536996558366,2.68385211012094
"CD.BA.CP.U.5",10,"CD.BA.CP.U.5","Baltimore",0.307610216974086,332725,4.63595038123998,1.53132159618698,1.65789479126006,-1.184280502226,0.746754373713285,1.50026621804695,-2.79487694257375,2.21937649829732,6.87255137474505,2.40531576711261
"CD.BA.FH.U.1",11,"CD.BA.FH.U.1","Baltimore",0.384359122368489,521703,10.8459931181743,1.83399092484166,-2.31312075066391,2.44015801800389,-0.283601152454233,-1.96902115840847,-2.39713177236071,1.13280193692422,0.896976786973174,-1.38971464343723
"CD.BA.FH.U.3",12,"CD.BA.FH.U.3","Baltimore",0.361648367567303,370398,11.3479961764754,1.74130308099721,-2.39346348071513,-1.36566134352859,0.814225383124553,-3.21260981129493,-2.87616639953085,-2.59466766515019,0.48181290784268,0.925696000037636
"CD.BA.FH.U.4",13,"CD.BA.FH.U.4","Baltimore",0.412064978918063,467588,10.5546469480677,0.819988939295113,-1.79764444775398,1.36691665682322,-4.21258849993845,-0.914123223062964,0.35297194916024,-4.17107203682576,0.885751201916912,-1.06300013327934
"CD.BA.FH.U.5",14,"CD.BA.FH.U.5","Baltimore",0.315016077166536,67282,9.52862167117901,-0.369688632296209,-0.00667607272783604,3.2036369446439,-4.4512731137178,1.65654851517196,2.99009849818367,1.60751369984424,-0.435544756692288,-2.87618078986283
"CD.BA.GA.U.1",15,"CD.BA.GA.U.1","Baltimore",0.402310312680312,439807,11.5927025539894,2.05779732535118,-1.07470158136648,-1.97222847098904,0.831065408509288,-3.48356136304642,-0.661123993729301,-3.04002440617017,0.533417024399601,2.30767458243302
"CD.BA.GA.U.3",16,"CD.BA.GA.U.3","Baltimore",0.367210221407245,600412,10.4453902491557,1.99943626540887,-0.515306166978504,-4.48281076419036,1.73619224477211,-3.5271305319906,0.372959863607137,-5.10868688261563,-0.315779297322795,4.02899358807748
